Name,URL,Year,Date,Place,Abstract Deadline,Registration Deadline,Fee (faculty)
"Asilomar Chromatin, Chromosomes, & Epigenetics Conference (ACCEC)",https://asilomarchromatin.com,2021,December 9-11,Virtual,,,
ISMCO (International Symposium on Mathematical and Computational Oncology),https://ismco.net/,2021,October 11-13,Virtual,Various,"September 24, 2021",$450 
JSM (Joint Statistical Meeting),https://ww2.amstat.org/meetings/jsm/2021/conferenceinfo.cfm,2021,August 7-12,"Seattle, virtual","April 14, 2021","May 31, 2021",
Bioconductor 2021,https://bioc2021.bioconductor.org/,2021,August 4-6,Virtual,,,$50 
ACM-BCB,http://acm-bcb.org/2021/index.php,2021,August 1-4,Virtual,,,$150 
MCCMB (Moscow Conference on Computational Molecular Biology),http://mccmb.belozersky.msu.ru/,2021,July 30-August 2,,"April 1, 2021","May 31, 2021",various
Association of Biomolecular Resource Facilities (ABRF),https://abrfannual.org,2021,March 7-11,,,,
AGBT Precision Health 2021,https://www.agbt.org/events/precision-health/,2021,September 9-11,"Coronado Island, CA",,,
"AICoB, INTERNATIONAL CONFERENCE ON ALGORITHMS FOR COMPUTATIONAL BIOLOGY",https://irdta.eu/alcob2020-2021/,2021,June 7-11,"Missoula, Montana","January 18, 2021","May 1, 2021",
3DGenomics 2020,https://3dgenomics2020.sciencesconf.org/,2020,November 23-26,Virtual,,,
Machine Learning in Computational Biology,https://sites.google.com/cs.washington.edu/mlcb2020/,2020,November 23-24,Virtual,,,
National Symposium on Drug Repurposing for Future Pandemics,https://www.drugsymposium.org,2020,November 17-18,Virtual,,,
MidAtlantic Bioinformatics Conference,https://www.mabc2020.com/,2020,November 2,Virtual,,,
AGBT Precision Health 2020,https://www.labroots.com/ms/virtual-event/agbt-precision-health-meeting,2020,September 10-11,Virtual,,"July 30, 2020",$0/$250
Genome Informatics,https://coursesandconferences.wellcomegenomecampus.org/our-events/genome-informatics-2020/,2020,September 14-14,Virtual,July 21,September 2020,
JSM,https://ww2.amstat.org/meetings/jsm/2020/,2020,August 1-6,Virtual,February 4,,
Bioconductor,https://bioc2020.bioconductor.org/,2020,July 29-31,Virtual,March 3,July 10,$50 
Bioinformatics Community Conference,https://bcc2020.github.io/,2020,July 18-21,Virtual,March 31,July 10,$9 
"SDSS, Symposium on Data Science & Statistics",https://ww2.amstat.org/meetings/sdss/2020/onlineprogram/Program.cfm,2020,June 3-6,"Pittsburgh, PA",January 30,,
3DGenomics2020,https://3dgenomics2020.sciencesconf.org,2020,March 29 - April 3,"Aussois, France",February 3,,
Higher-Order Chromatin Architecture in Time and Space (X3),http://keystonesymposia.org/index.cfm?e=web.Meeting.Program&meetingid=1685,2020,March 15-19,"Whistler, British Columbia, Canada",November 12,January 15,$945 
rstudio::conf,https://web.cvent.com/event/36ebe042-0113-44f1-8e36-b9bc5d0733bf/summary,2020,January 29-30,"San Francisco, CA",,,$495 
4DN-ASCB Satellite Meeting,https://www.4dnucleome.org/4dn-ascb-meeting-2019.html,2019,December 5-6,Washington D.C.,,October 15,
DC R Conference,https://dc.rstats.ai/,2019,November 7-9,Washington D.C.,,,$250 
ICBI Health Informatics & Data Science,http://www.cvent.com/events/the-8th-annual-health-informatics-and-data-science-symposium-at-georgetown-university/event-summary-735d09a5c1524c958aff3269f1c2dc32.aspx,2019,October 18,Washington D.C.,September 5,October 18,Free
MidAtlantic Bioinformatics Conference,https://www.mabc2019.org/,2019,October 11,"Philadelphia, PA",September 8,,$50 
ACM BCB,https://acm-bcb.org/2019/index.php,2019,September 7-10,"Niagara Falls, NY",March 15,,
"ISMB, Intelligent Systems for Molecular Biology",https://www.iscb.org/ismbeccb2019,2019,July 21 - July 27,"Basel, Switzerland",January 28,June 20,~$750
JSM,http://ww2.amstat.org/meetings/jsm/2019/,2019,July 27 - August 1,Colorado,"October 10, 2018",May 1,
Bioconductor,http://bioc2019.bioconductor.org/index,2019,June 24 - 27,"New York City, NY",March 15,May 27,$300 
ASA-Biopharmaceutical Nonclinical Biostatistics Conference,https://community.amstat.org/biop/events/ncb/index,2019,June 17-19,"Rutgers University, NJ",March 31,March 31,$250 
"ICIBM, International Conference on Intelligent Biology and Medicine",http://icibm2019.org/,2019,June 9-11,"Columbus, OH",March 25,April 30,
"SDSS, Symposium on Data Science & Statistics",https://ww2.amstat.org/meetings/sdss/2019/index.cfm,2019,May 29-June 1,"Bellevue, WA","January  31, March 12",April 6,$645 
Great Lakes Bioinformatics Conference,https://www.iscb.org/glbio2019,2019,May 19-22,University of Wisconsin-Madison,March 11,April 8,$290 (ISCB members)
Recomb,https://recomb2019.org/,2019,May 5-8,"Washington, DC",October 30,March 1,
ENAR,https://www.enar.org/meetings/spring2019/,2019,March 24-27,"Philadelphia, PA","October 15, 2018",Feburary 1,$640 
CSHL Network Biology,https://meetings.cshl.edu/mobile/meetings.aspx?meet=NETWORK&year=19,2019,March 19 - 23,"Cold Spring Harbor, NY",January 11,January 11,"$1,515 "
"PSB, Pacific Symposium on Biocomputing",https://psb.stanford.edu/,2019,January 3-7,Hawaii,"August 6, 2018","October 31, 2018","$1,200 "
